moviecd,movienm,genrenm
20184802,몬스터 호텔 3,코미디
20184802,몬스터 호텔 3,가족
20184802,몬스터 호텔 3,판타지
20184865,고질라: 킹 오브 몬스터,액션
20184865,고질라: 킹 오브 몬스터,어드벤처
20184865,고질라: 킹 오브 몬스터,SF
20184888,메리 포핀스 리턴즈,판타지
20184888,메리 포핀스 리턴즈,뮤지컬
20184889,어벤져스: 엔드게임,액션
20184889,어벤져스: 엔드게임,SF
20184896,가버나움,드라마
20184943,빌리어네어 보이즈클럽,드라마
20184943,빌리어네어 보이즈클럽,범죄
20185046,서치,드라마
20185047,쿠르스크,드라마
20185124,러브 유어셀프 인 서울,공연
20185222,체실 비치에서,드라마
20185222,체실 비치에서,멜로/로맨스
20185241,칠드런 액트,드라마
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,애니메이션
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,판타지
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,어드벤처
20185350,칠곡 가시나들,다큐멘터리
20185352,어스,공포(호러)
20185352,어스,스릴러
20185353,기방도령,코미디
20185353,기방도령,사극
20185384,호텔 뭄바이,스릴러
20185406,헬보이,액션
20185406,헬보이,어드벤처
20185406,헬보이,판타지
20185444,레고 무비2,애니메이션
20185444,레고 무비2,액션
20185444,레고 무비2,어드벤처
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,애니메이션
20185485,보헤미안 랩소디,드라마
20185576,콜드 체이싱,액션
20185784,나의 특별한 형제,드라마
20185784,나의 특별한 형제,코미디
20185881,증인,드라마
20185986,진범,스릴러
20186121,어느 가족,드라마
20186202,신과함께-인과 연,판타지
20186202,신과함께-인과 연,드라마
20186261,드래곤 길들이기 3,애니메이션
20186281,범블비,액션
20186281,범블비,어드벤처
20186281,범블비,SF
20186321,퍼스트맨,SF
20186321,퍼스트맨,드라마
20186324,언더독,애니메이션
20186501,극장판 헬로카봇 : 백악기 시대,애니메이션
20186651,뷰티풀 보이스,코미디
20186822,너의 췌장을 먹고 싶어,애니메이션
20186822,너의 췌장을 먹고 싶어,드라마
20187427,명탐정 코난 : 제로의 집행인,애니메이션
20187521,펭귄 하이웨이,애니메이션
20187521,펭귄 하이웨이,어드벤처
20187521,펭귄 하이웨이,판타지
20187641,극장판 도라에몽: 진구의 보물섬,애니메이션
20187641,극장판 도라에몽: 진구의 보물섬,SF
20187641,극장판 도라에몽: 진구의 보물섬,어드벤처
20187647,나를 차버린 스파이,액션
20187647,나를 차버린 스파이,코미디
20187657,마일22,액션
20187657,마일22,어드벤처
20187657,마일22,스릴러
20187683,플로이,애니메이션
20187683,플로이,어드벤처
20187683,플로이,가족
20187981,배심원들,드라마
20188144,0.0MHz,공포(호러)
20188242,타샤 튜더,다큐멘터리
20188282,알리타: 배틀 엔젤,액션
20188282,알리타: 배틀 엔젤,어드벤처
20188282,알리타: 배틀 엔젤,멜로/로맨스
20188282,알리타: 배틀 엔젤,SF
20188282,알리타: 배틀 엔젤,스릴러
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,애니메이션
20188342,바니부기: 드래곤 에그를 찾아서,애니메이션
20188342,바니부기: 드래곤 에그를 찾아서,어드벤처
20188393,다시, 봄,드라마
20188393,다시, 봄,판타지
20188446,양말요정 휴고의 대모험,어드벤처
20188446,양말요정 휴고의 대모험,애니메이션
20188567,더 게스트,공포(호러)
20188567,더 게스트,스릴러
20188581,더 프레데터,SF
20188581,더 프레데터,액션
20188581,더 프레데터,스릴러
20188661,에브리데이,멜로/로맨스
20188941,악인전,범죄
20188941,악인전,액션
20189067,미쓰백,드라마
20189123,곰돌이 푸 다시 만나 행복해,어드벤처
20189261,어드리프트:우리가 함께한 바다,멜로/로맨스
20189261,어드리프트:우리가 함께한 바다,드라마
20189262,더 넌,공포(호러)
20189268,루이스,애니메이션
